Test SB Allowed
States 141
0:EAX=2; 0:EBX=3; 0:ECX=3; 1:EAX=0; 1:EBX=0; 1:ECX=3; x=3; y=3;
0:EAX=2; 0:EBX=3; 0:ECX=3; 1:EAX=0; 1:EBX=1; 1:ECX=1; x=3; y=3;
0:EAX=2; 0:EBX=3; 0:ECX=3; 1:EAX=0; 1:EBX=1; 1:ECX=2; x=3; y=3;
0:EAX=2; 0:EBX=3; 0:ECX=3; 1:EAX=0; 1:EBX=1; 1:ECX=3; x=3; y=3;
0:EAX=2; 0:EBX=3; 0:ECX=3; 1:EAX=0; 1:EBX=2; 1:ECX=2; x=3; y=3;
0:EAX=2; 0:EBX=3; 0:ECX=3; 1:EAX=0; 1:EBX=2; 1:ECX=3; x=3; y=3;
0:EAX=2; 0:EBX=3; 0:ECX=3; 1:EAX=1; 1:EBX=1; 1:ECX=1; x=3; y=3;
0:EAX=2; 0:EBX=3; 0:ECX=3; 1:EAX=1; 1:EBX=1; 1:ECX=2; x=3; y=3;
0:EAX=2; 0:EBX=3; 0:ECX=3; 1:EAX=1; 1:EBX=1; 1:ECX=3; x=3; y=3;
0:EAX=2; 0:EBX=3; 0:ECX=3; 1:EAX=1; 1:EBX=2; 1:ECX=2; x=3; y=3;
0:EAX=2; 0:EBX=3; 0:ECX=3; 1:EAX=1; 1:EBX=2; 1:ECX=3; x=3; y=3;
0:EAX=3; 0:EBX=3; 0:ECX=3; 1:EAX=0; 1:EBX=0; 1:ECX=0; x=3; y=3;
0:EAX=3; 0:EBX=3; 0:ECX=3; 1:EAX=0; 1:EBX=0; 1:ECX=1; x=3; y=3;
0:EAX=3; 0:EBX=3; 0:ECX=3; 1:EAX=0; 1:EBX=0; 1:ECX=2; x=3; y=3;
0:EAX=3; 0:EBX=3; 0:ECX=3; 1:EAX=0; 1:EBX=0; 1:ECX=3; x=3; y=3;
0:EAX=3; 0:EBX=3; 0:ECX=3; 1:EAX=0; 1:EBX=1; 1:ECX=1; x=3; y=3;
0:EAX=3; 0:EBX=3; 0:ECX=3; 1:EAX=0; 1:EBX=1; 1:ECX=2; x=3; y=3;
0:EAX=3; 0:EBX=3; 0:ECX=3; 1:EAX=0; 1:EBX=1; 1:ECX=3; x=3; y=3;
0:EAX=3; 0:EBX=3; 0:ECX=3; 1:EAX=1; 1:EBX=1; 1:ECX=1; x=3; y=3;
0:EAX=3; 0:EBX=3; 0:ECX=3; 1:EAX=1; 1:EBX=1; 1:ECX=2; x=3; y=3;
0:EAX=3; 0:EBX=3; 0:ECX=3; 1:EAX=1; 1:EBX=1; 1:ECX=3; x=3; y=3;
No
Witnesses
Positive: 0 Negative: 141
Condition exists (0:EAX=0 /\ 1:EAX=0 \/ 0:EBX=0 /\ 1:EBX=0 \/ 0:ECX=0 /\ 1:ECX=0 \/ 0:EBX=1 /\ 1:EBX=1 \/ 0:ECX=1 /\ 1:ECX=1 \/ 0:ECX=2 /\ 1:ECX=2)
Observation SB Never 0 141
Time SB 11.38
Hash=c7780cb2377ff183dd606a603a7eda6b

