Iteration 139 	 Th1: 21 Th2: 449
Iteration 140 	 Th1: 21 Th2: 455
Iteration 141 	 Th1: 21 Th2: 464
Iteration 142 	 Th1: 21 Th2: 469
Iteration 143 	 Th1: 21 Th2: 470
Iteration 144 	 Th1: 21 Th2: 471
Iteration 145 	 Th1: 22 Th2: 472
Iteration 146 	 Th1: 22 Th2: 473
Iteration 147 	 Th1: 22 Th2: 474
Iteration 148 	 Th1: 22 Th2: 475
Iteration 149 	 Th1: 22 Th2: 476
Iteration 150 	 Th1: 22 Th2: 477
Iteration 151 	 Th1: 22 Th2: 478
Iteration 152 	 Th1: 23 Th2: 479
Iteration 153 	 Th1: 23 Th2: 480
Iteration 154 	 Th1: 23 Th2: 481
Iteration 155 	 Th1: 23 Th2: 482
Iteration 156 	 Th1: 23 Th2: 483
Iteration 157 	 Th1: 23 Th2: 484
Iteration 158 	 Th1: 23 Th2: 485
Iteration 159 	 Th1: 23 Th2: 486
Iteration 160 	 Th1: 23 Th2: 487
Iteration 161 	 Th1: 23 Th2: 488
Iteration 162 	 Th1: 24 Th2: 489
Iteration 163 	 Th1: 24 Th2: 490
Iteration 164 	 Th1: 24 Th2: 492
Iteration 165 	 Th1: 24 Th2: 494
Iteration 166 	 Th1: 24 Th2: 495
Iteration 167 	 Th1: 25 Th2: 496
Iteration 168 	 Th1: 25 Th2: 498
Iteration 169 	 Th1: 25 Th2: 500
Iteration 170 	 Th1: 25 Th2: 511
Iteration 171 	 Th1: 25 Th2: 524
Iteration 172 	 Th1: 25 Th2: 525
Iteration 173 	 Th1: 25 Th2: 527
Iteration 174 	 Th1: 25 Th2: 529
Iteration 175 	 Th1: 25 Th2: 530
Iteration 176 	 Th1: 25 Th2: 540
Iteration 177 	 Th1: 26 Th2: 541
Iteration 178 	 Th1: 26 Th2: 542
Iteration 179 	 Th1: 26 Th2: 547
Iteration 180 	 Th1: 26 Th2: 556
Iteration 181 	 Th1: 26 Th2: 557
Iteration 182 	 Th1: 26 Th2: 563
Iteration 183 	 Th1: 27 Th2: 573
Iteration 184 	 Th1: 27 Th2: 579
Iteration 185 	 Th1: 27 Th2: 588
Iteration 186 	 Th1: 27 Th2: 595
Iteration 187 	 Th1: 27 Th2: 605
