Iterations	amd5-Checker	amd5-Heuristic	amd5-litmus7	sb-Checker	sb-Heuristic	sb-litmus7	lb-Checker	lb-Heuristic	lb-litmus7
1000	0.007730292	0.000349387	0.001	0.005448262	0.000170349	0.001	0.007275672	0.000155966	0.001
10000	0.381535413	0.001808	0.005	0.306343233	0.000283679	0.005	0.320815508	0.000286492	0.004
100000	31.73005923	0.01221189	0.042	24.70179024	0.001452773	0.045	33.55997121	0.001656425	0.04
