		,litmus7,Checker,Heuristic
1000		,0.001	,0.007927053,	0.000175701
10000		,0.004	,0.276517879,	0.000232505
100000		,0.04	,33.50731451,	0.0014181
1000000		,0.39	,3500.380233,	0.015874743
10000000	,3.237	,0	,0.11606529
100000000	,14.783	,0	,0.86719777
1000000000	,234.506,0	,11.9798277
10000000000	,208.852,0	,16.36985136
