Test SB Allowed
States 162
2:EAX=2; 2:EBX=1; 3:EAX=0; 3:EBX=1; x=2;
2:EAX=2; 2:EBX=1; 3:EAX=0; 3:EBX=2; x=1;
2:EAX=2; 2:EBX=1; 3:EAX=0; 3:EBX=2; x=2;
2:EAX=2; 2:EBX=1; 3:EAX=1; 3:EBX=0; x=1;
2:EAX=2; 2:EBX=1; 3:EAX=1; 3:EBX=0; x=2;
2:EAX=2; 2:EBX=1; 3:EAX=1; 3:EBX=1; x=1;
2:EAX=2; 2:EBX=1; 3:EAX=1; 3:EBX=1; x=2;
2:EAX=2; 2:EBX=1; 3:EAX=1; 3:EBX=2; x=1;
2:EAX=2; 2:EBX=1; 3:EAX=1; 3:EBX=2; x=2;
2:EAX=2; 2:EBX=1; 3:EAX=2; 3:EBX=0; x=1;
2:EAX=2; 2:EBX=1; 3:EAX=2; 3:EBX=0; x=2;
2:EAX=2; 2:EBX=1; 3:EAX=2; 3:EBX=1; x=1;
2:EAX=2; 2:EBX=1; 3:EAX=2; 3:EBX=1; x=2;
2:EAX=2; 2:EBX=1; 3:EAX=2; 3:EBX=2; x=1;
2:EAX=2; 2:EBX=1; 3:EAX=2; 3:EBX=2; x=2;
2:EAX=2; 2:EBX=2; 3:EAX=0; 3:EBX=0; x=1;
2:EAX=2; 2:EBX=2; 3:EAX=0; 3:EBX=0; x=2;
2:EAX=2; 2:EBX=2; 3:EAX=0; 3:EBX=1; x=1;
2:EAX=2; 2:EBX=2; 3:EAX=0; 3:EBX=1; x=2;
2:EAX=2; 2:EBX=2; 3:EAX=0; 3:EBX=2; x=1;
2:EAX=2; 2:EBX=2; 3:EAX=0; 3:EBX=2; x=2;
2:EAX=2; 2:EBX=2; 3:EAX=1; 3:EBX=0; x=1;
2:EAX=2; 2:EBX=2; 3:EAX=1; 3:EBX=0; x=2;
2:EAX=2; 2:EBX=2; 3:EAX=1; 3:EBX=1; x=1;
2:EAX=2; 2:EBX=2; 3:EAX=1; 3:EBX=1; x=2;
2:EAX=2; 2:EBX=2; 3:EAX=1; 3:EBX=2; x=1;
2:EAX=2; 2:EBX=2; 3:EAX=1; 3:EBX=2; x=2;
2:EAX=2; 2:EBX=2; 3:EAX=2; 3:EBX=0; x=1;
2:EAX=2; 2:EBX=2; 3:EAX=2; 3:EBX=0; x=2;
2:EAX=2; 2:EBX=2; 3:EAX=2; 3:EBX=1; x=1;
2:EAX=2; 2:EBX=2; 3:EAX=2; 3:EBX=1; x=2;
2:EAX=2; 2:EBX=2; 3:EAX=2; 3:EBX=2; x=1;
2:EAX=2; 2:EBX=2; 3:EAX=2; 3:EBX=2; x=2;
Ok
Witnesses
Positive: 2 Negative: 160
Condition exists (2:EAX=0 /\ 2:EBX=0 /\ 3:EAX=0 /\ 3:EBX=0)
Observation SB Sometimes 2 160
Time SB 0.09
Hash=9ba8535132131f12856801fc7d254a1c

