	PerpLE Heuristic
amd3	0.62424748753
iwp24	7.17758393462
n1	6.66666666667
n4	0.0
podwr000	3.7021184858
podwr001	0.0961325672372
rfi009	75.7575757576
rfi013	6.80745064505
rfi015	100.0
rfi017	49.5486278286
rwc-unfenced	10.4559478917
sb	3.68904072309
Geomean	22.0437826657	
