	litmus7	PerpLE (Checker)	PerpLE (Heuristic)
10000	1.0	0.0313802293269	2.50949613547
100000	1.0	0.0100334266198	2.35486990606
1000000	1.0	?	2.95931181718
10000000	1.0	?	2.46197021918
100000000	1.0	?	1.95448444119
