	litmus7	PerpLE (Checker)	PerpLE (Heuristic)
10000	1.0	0.04522676710716048	2.4881362551560535
100000	1.0	0.008092360299887594	2.3487800886038324
1000000	1.0	?	2.946765405895641
10000000	1.0	?	2.4409717157651114
100000000	1.0	?	1.9388061973901236
