	litmus7	PerpLE (Checker)	PerpLE (Heuristic)
iwp23b	0.021	0.005903572	0.005895744
safe022	0.033	0.007431407	0.007406059
mp	0.029	0.008271497	0.008252712
mp+staleld	0.03	0.016473302	0.01635774
mp+fences	0.038	0.020389344	0.020361812
co-iriw	0.04	0.024362772	0.023643042
n5	0.04	23.321686387	0.014213832
safe006	0.023	23.323600923	0.022978922
lb	0.035	23.566200947	0.020514511
podwr000	0.043	24.028685216	0.014151733
amd5	0.048	24.029295006	0.014512877
iwp24	0.051	24.185743419	0.011365465
amd5+staleld	0.053	24.462929315	0.01563362
amd10	0.05	24.823320065	0.019476671
safe036	0.051	24.860640861	0.015716208
rwc-fenced	0.039	25.478945824	0.026275469
amd3	0.037	25.77405251	0.013746409
rwc-unfenced	0.038	26.579459036	0.020875353
wrc	0.036	27.056929048	0.024839641
sb	0.043	27.215042215	0.014807655
n1	0.039	29.956606955	0.015565276
rfi009	0.037	31.674250671	0.020098613
n4	0.035	33.070007506	0.018059107
rfi017	0.036	33.743378585	0.02030893
rfi015	0.042	34.021465024	0.015994354
rfi013	0.023	41.354018418	0.013205761
Geomean	0.0370762234156	4.58163280448	0.0157853106792
