	PerpLE (Counter)	PerpLE (Heuristic)	litmus7
100	21618.1645448	50797.1599222	0.0	0
1000	3553.16710451	134160.758548	0.0	0
10000	681.795439158	230608.119031	11905.5078898	19.3698682296
100000	0.0	874821.811891	672.444109853	1300.95839799
1000000	0.0	311884.326071	213.771636437	1458.96027775
10000000	0.0	187837.180762	425.499104252	441.451412904
100000000	0.0	242637.677937	484.142341862	501.170124893
1000000000	0.0	475467.530845	21.3724825055	22246.7151732
