	PerpLE (Checker)	PerpLE (Heuristic)	litmus7 Timebase 	litmus7 User 	litmus7 Userfence 	litmus7 Pthread 	litmus7 None
100	640255.848448	79635.7161587	0.0	0.0	0.0	0.0	4988.30538179
1000	312237.315068	1151558.92718	235.133468772	38366.0829526	3618.37731989	0.0	4840.84152328
10000	6168.04948823	796481.741785	434.286875024	7775.88591257	1581.63342848	19826.9700104	1012.68230566
100000	0.0	657654.724076	402.216553294	2135.66984761	1280.30291337	2123.55966319	685.500583001
1000000	0.0	1750342.48068	475.202805646	5406.4601541	624.599573236	348.891746969	233.484925284
10000000	0.0	2563365.7183	874.761751143	2811.29423352	1763.04377404	9905.97450352	505.110202016
100000000	0.0	1851100.21498	404.530826059	2545.24701079	820.032094298	364.808105039	620.561018273
