		,litmus7,Checker,Heuristic
10	,0	,20	,4
100	,0.2	,1256	,55
1000	,0	,38280.6	,957.2
10000	,0.2	,230733.2	,4738.2
100000	,7.4	,605074.8	,23050.6
1000000	,17.2	,5580000	,209419.8
10000000,8.2		, ,2048563
100000000	,96.8	,	,14659687
1000000000	,906.2	,	,166007432.2
10000000000	,6027873.2,	,	170892201.4
