		,litmus7,Checker,Heuristic
1000		,0	,235066337	,5872298.969
10000		,100	,739533753.7	,15217451.35
100000		,231.25	,361566362.8	,14557897.94
1000000		,78.899	,444029281.5	,17716483.38
10000000	,5.183	,0	,19322103.37
100000000	,6.265	,0	,17622660.32
1000000000	,5.44	,0	,18247899.62
10000000000	,13144.993	,0	,14583599.41
