	PerpLE (Checker)	PerpLE (Heuristic)	litmus7 Timebase 	litmus7 User 	litmus7 Userfence 	litmus7 Pthread 	litmus7 None
100	57098.1466899	59038.6662259	0.0	0.0	0.0	0.0	3735.596118
1000	26147.3160947	467018.230602	0.0	21090.5018814	0.0	0.0	4937.02276998
10000	1145.10013571	278896.180387	790.357797208	106008.461921	2999.02887649	31581.7979883	5763.34986854
100000	0.0	181572.913267	797.711602606	6386.48944571	1439.72570818	5792.56223393	692.450274852
1000000	0.0	298302.087945	259.971831582	3167.06398039	633.62602872	203.476775618	504.572713821
10000000	0.0	415852.459769	575.438075317	1801.38599336	898.467681665	543.898393156	499.063483411
100000000	0.0	509750.109659	718.246135657	1181.51691585	713.329452749	3673.21544023	1280.32021794
