,PerpLE Counter,litmus7 User, litmus7 Timebase, litmus7 Userfence, litmus7 Pthread, litmus7 None
<00>,288,1,191,0,2,0
<01>,572857,500,351,500,998,0
<10>,426712,499,355,500,0,10000
<11>,142,0,103,0,0,0

<00>,942,0,66,1,241,0
<01>,541270,500,473,499,491,1000
<10>,457788,500,461,500,268,0
<11>,0,0,0,0,0,0

<000>,201,1,72,0,138,0
<001>,184837107,331,179,328,326,0
<010>,159460743,260,140,251,157,0
<011>,165557949,73,148,4,140,0
<100>,156301808,173,179,331,129,0
<101>,178880884,2,166,3,86,1000
<110>,154961248,160,113,83,24,0
<111>,60,0,3,1,0,0

